shortname,category,Assignment,Chat,Choice,Database,Feedback,Folder,Forum,Glossary,Label,Language Lesson,Lesson,LTI,Quiz,SCORM,Survey,Wiki,Workshop
EDUC110-WL0-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDUC234-00-F15,84,7,0,0,0,0,2,2,0,88,0,0,0,0,0,0,0,0
EDUC340-00-F15,84,16,0,0,0,0,8,2,0,57,0,0,0,0,0,0,0,0
EDUC355-00-F15,84,16,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
EDUC356-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDUC375-00-F15,84,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENGL100-01-F15,84,5,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0
ENGL100-02-F15,84,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0
ENGL100-03-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENGL100-04-F15,84,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0
ENGL100-05-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGL100-06-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENGL100-08-F15,84,1,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0
ENGL117-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGL119-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGL129-00-F15,84,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENGL144-00-F15,84,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,0
ENGL160-01-F15,84,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ENGL160-02-F15,84,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
ENGL160-WL1-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENGL194-00-F15,84,3,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0
ENGL217-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGL235-00-F15,84,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENGL244-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENGL247-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGL270-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGL271-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENGL273-00-F15,84,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ENGL291-11-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENGL295-00-F15,84,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0
