"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"ECON330-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON331-00-W16",85,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"ECON400-01-W16",85,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
"ECON400-02-W16",85,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON400-03-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON400-04-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"EDUC110-00-W16",85,6,0,0,0,0,9,2,0,40,0,0,0,0,0,0,0,0
"EDUC110-WL0-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"EDUC245-00-W16",85,7,0,0,0,1,2,1,0,53,0,0,0,0,0,0,0,0
"EDUC338-00-W16",85,7,0,1,0,1,5,1,0,53,0,0,0,0,0,0,0,0
"EDUC347-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"EDUC375-00-W16",85,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ENGL109-00-W16",85,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0
"ENGL112-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL118-00-W16",85,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"ENGL160-00-W16",85,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"ENGL160-WL0-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL203-00-W16",85,4,0,0,0,0,6,7,0,3,0,0,0,0,0,0,0,0
"ENGL212-00-W16",85,5,0,0,0,0,0,32,0,43,0,0,0,0,0,0,0,0
"ENGL213-00-W16",85,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0
"ENGL214-00-W16",85,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0
