"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"FREN254-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FREN255-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FREN259-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"fren259/359-s20",110,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"fren309-00-s20",110,4,0,0,0,0,1,2,0,1,0,0,23,0,0,0,0,0
"FREN359-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"fren360-00-s20",110,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
"geol110-53-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"geol110-54-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GEOL110-s20",110,14,0,0,0,0,2,10,0,64,0,0,0,0,0,0,0,0
"GEOL135-53-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GEOL135-54-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"geol240-00-s20",110,16,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0
"geol240-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GEOL240-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"geol255-52-s20",110,0,0,0,0,0,129,2,5,13,0,0,0,0,0,0,0,0
"geol258-53-s20",110,6,0,0,0,0,7,29,0,0,0,0,0,3,0,0,0,0
"geol400-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"germ103-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"germ103-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GERM103-s20 (Kost)",110,5,0,0,0,0,0,55,0,21,0,0,8,3,0,0,0,0
"GERM103-s20 (Meyer)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"germ247-00-s20",110,2,0,0,0,0,0,36,0,29,0,0,9,0,0,0,0,0
"germ342-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GERM400-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"grk102-00-s20",110,36,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0
"grk231-00-s20",110,3,0,0,0,0,0,2,0,23,0,0,10,9,0,0,0,0
"Happy Hour s20",110,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hist127-00-s20",110,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"hist143-00-s20",110,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"hist156-00-s20",110,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0
"hist200-00-s20",110,10,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0
"hist203-00-s20",110,23,0,0,0,0,0,11,0,35,0,0,2,1,0,0,0,0
